BG_Left,BY_Left,BR_Left,BG_Thru,BY_Thru,BR_Thru
,,,,16,54
604,653,689,732,1013,1051
1602,1653,1689,1731,2013,2051
2602,2652,2688,2730,3012,3050
3601,3652,3688,3730,4011,4049
4600,4650,4686,4728,5010,5048
5599,5650,5686,5728,6009,6047
6598,6648,6684,6727,7007,7045
7597,7647,7683,7726,8007,8045
8596,8646,8682,8723,9005,9043
9595,9646,9682,9723,10005,10043
10595,10645,10681,10721,11004,11042
11593,11645,11681,11720,12003,12041
12592,12643,12679,12719,13002,13040
13590,13640,13676,13717,14000,14038
14588,14639,14675,14717,,
