BG_Left,BY_Left,BR_Left,BG_Thru,BY_Thru,BR_Thru
242,336,372,400,676,708
1173,1273,1309,1337,1623,1655
2137,2212,2248,2295,2571,2603
3083,3178,3214,3242,3518,3550
4028,4125,4161,4188,4465,4497
4960,5061,5097,5125,5410,5442
5868,5966,6002,6039,6357,6389
6869,6965,7001,7028,7303,7335
7801,7897,7933,7964,8251,8283
,,,8921,9197,9229
9710,9806,9842,9869,10144,10176
10657,10753,10789,10815,11092,11124
11604,11699,11735,11763,12037,12069
12533,12632,12668,12698,12983,13015
13495,13592,13628,13654,13931,13963
14441,14537,14573,14599,14876,14908
