BG_Left,BY_Left,BR_Left,BG_Thru,BY_Thru,BR_Thru
452,568,604,452,948,980
1453,1571,1607,1602,1949,1981
2450,2561,2597,2561,2950,2982
3455,3573,3609,3605,3952,3984
4412,4531,4567,4553,4954,4986
5458,5575,5611,5561,5954,5986
6414,6534,6570,6567,6955,6987
7456,7566,7602,7598,7957,7989
8456,8568,8604,8599,8959,8991
9418,9418,9454,9538,9959,9991
10458,10572,10608,10602,10961,10993
11352,11473,11509,11499,11962,11994
12467,12584,12620,12616,12964,12996
13464,13575,13611,13606,13965,13997
14470,14587,14623,14619,14965,14997
