BG_Left	BY_Left	BR_Left	BG_Thru	BY_Thru	BR_Thru
					38
589	669	705	688	999	1037
1589	1669	1705	1686	1999	2037
2586	2667	2703	2685	2997	3035
3586	3667	3703	3684	3995	4033
4584	4666	4702	4683	4994	5032
5583	5664	5700	5682	5993	6031
6581	6663	6699	6680	6991	7029
7580	7661	7697	7679	7991	8029
8579	8659	8695	8678	8990	9028
9579	9660	9696	9678	9989	10027
10578	10657	10693	10677	10987	11025
11576	11658	11694	11676	11987	12025
12576	12656	12692	12673	12986	13024
13574	13654	13690	13672	13985	14023
14573	14653	14689	14671		
