BG_Left	BY_Left	BR_Left	BG_Thru	BY_Thru	BR_Thru
397	477	513	527	786	822
1349	1429	1465	1478	1738	1774
2300	2380	2416	2429	2689	2725
3252	3332	3368	3380	3640	3676
4203	4282	4318	4331	4591	4627
5154	5234	5270	5283	5543	5579
6105	6185	6221	6234	6495	6531
7056	7136	7172	7185	7446	7482
8008	8087	8123	8136	8397	8433
8959	9038	9074	9087	9348	9384
9910	9989	10025	10038	10299	10335
10861	10940	10976	10989	11250	11286
11812	11891	11927	11941	12201	12237
12762	12843	12879	12892	13151	13187
13713	13794	13830	13843	14102	14138
14665	14744	14780	14793	15053	15089
15616	15695	15731	15745	16004	16040
16567	16646	16682	16695	16956	16992
17518	17598	17634	17646	17907	17943
