BG_Left	BY_Left	BR_Left	BG_Thru	BY_Thru	BR_Thru
			33	340	378
844	944	980	983	1291	1329
1795	1894	1930	1933	2240	2278
2745	2845	2881	2884	3190	3228
3695	3794	3830	3832	4140	4178
4645	4744	4780	4783	5090	5128
5595	5695	5731	5434	6041	6079
6545	6645	6681	6684	6991	7029
7496	7595	7631	7634	7939	7977
8445	8545	8581	8583	8890	8928
9396	9496	9532	9534	9841	9879
10344	10444	10480	10482	10790	10828
11295	11395	11431	11433	11740	11778
12245	12345	12381	12383	12689	12727
13194	13294	13330	13332	13639	13677
14145	14243	14279	14281	14588	14626
