BG_Left	BY_Left	BR_Left	BG_Thru	BY_Thru	BR_Thru
222	329	365	371	657	689
1156	1268	1304	1307	1606	1638
2119	2226	2262	2249	2555	2587
3067	3175	3211	3217	3503	3535
4016	4124	4160	4165	4452	4484
4950	5062	5098	5102	5400	5432
5859	5980	6016	6012	6349	6381
6862	6970	7006	7011	7298	7330
7797	7908	7944	7945	8246	8278
8759	8866	8902	8760	9195	9227
9709	9817	9853	9856	10142	10174
10656	10764	10800	10806	11092	11124
11605	11712	11748	11753	12040	12072
12538	12650	12686	12688	12988	13020
13501	13607	13643	13649	13936	13968
14450	14556	14592	14598	14884	14916
