BG_Left,BY_Left,BR_Left,BG_Thru,BY_Thru,BR_Thru
,,,36,335,373
841,931,967,988,1287,1325
1792,1883,1919,1941,2239,2277
2744,2834,2870,2893,3190,3228
3696,3786,3822,3844,4142,4180
4648,4738,4774,4796,5095,5133
5601,5690,5726,5748,6047,6085
6553,6642,6678,6700,7000,7038
7505,7596,7632,7652,7951,7989
8456,8546,8582,8605,8903,8941
9408,9498,9534,9557,9855,9893
10360,10449,10485,10509,10807,10845
11312,11402,11438,11460,11758,11796
12264,12353,12389,12412,12710,12748
13216,13305,13341,13363,13661,13699
14167,14256,14292,14315,14613,14651
