BG_Left,BY_Left,BR_Left,BG_Thru,BY_Thru,BR_Thru
,,,630,957,989
1511,1608,1644,1629,1956,1988
2488,2559,2595,2618,2955,2987
3475,3572,3608,3628,3955,3987
4412,4499,4535,4585,4953,4985
5455,5506,5542,5625,5952,5984
6410,6509,6545,6582,6951,6983
7449,7539,7575,7613,7950,7982
8448,8537,8573,8612,8949,8981
,,,9578,9947,9979
10445,10535,10571,10610,10946,10978
11335,11429,11465,11507,11945,11977
12448,12544,12580,12618,12944,12976
13441,13533,13569,13606,13942,13974
14444,14541,14577,14614,14940,14972
